node,ABOUT,Type,active_users,Location,lon,lat,n_msg,mean_Topic1_Info_Distribution,mean_Topic2_Mobilization,mean_Topic3_CTs,mean_Topic4_Covid_Politics,mean_Topic5_Covid_Medical_Discussion
qd334info,"",Channel,,Strausberg,13.8833952,52.5814009,655,0.333474524466197,0.195670144152298,0.195654951792113,0.128495571089633,0.141187760964806
qd8341info,QUERDENKEN (8341 - KAUFBEUREN) - INFO-Kanal,Channel,,Kaufbeuren,10.622246,47.8803788,81,0.415473077980028,0.336906707306849,0.120348549733979,0.0802260402992926,0.0448197031531905
querdenken_083,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen!  Kanäle & Gruppen: @querdenken_083 - INFO-Kanal @querdenken083 - Diskussion & Austausch @querdenken_083_aktiv - Bilder und Videos von Demos im Allgäu",Channel,,Kempten,10.3168835,47.7267063,480,0.4138871527845,0.272956177409953,0.152849076366391,0.0630101602162743,0.0796296682604362
querdenken_211,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen.
@querdenken_211 - INFO-Kanal
@querdenken211 - Diskussion & Austausch
@querdenken211_aktiv - Bilder und Videos von Demos in 211 - DÜSSELDORF
Webseite: http://querdenken211.de",Channel,,Düsseldorf,6.7763137,51.2254018,4959,0.33235210135341,0.157889533107588,0.195144834458486,0.140482028554109,0.159558054274882
querdenken_234,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen!

Kanäle & Gruppen:
@querdenken_234 - INFO-Kanal
@querdenken234 - Diskussion & Austausch
@querdenken234_aktiv - Bilder und Videos von Demos in 234 - BOCHUM
https://querdenken-234.de",Channel,,Bochum,7.2196635,51.4818111,2651,0.371375720896856,0.164690773813452,0.18886993315718,0.0898271686348829,0.135267236211303
querdenken_341,"Dies ist der offizieller Querdenken-Kanal der Bewegung Leipzig. 
Die Gruppe für Diskussionen findet Ihr hier: @querdenken341",Channel,,Leipzig,12.3747329,51.3406321,4825,0.244221779254414,0.130906484885579,0.190630622027271,0.152228159007355,0.22552696984816
querdenken_351,Webseite: https://querdenken-351.de,Channel,,Dresden,13.7381437,51.0493286,4579,0.210331067818279,0.1088779043003,0.159706038027016,0.142245128009408,0.367324348909952
querdenken_381,"Aktuelle Nachrichten unserer Initiative in HRO und MV.

Telegram Chat:  t.me/querdenken381
Homepage:  www.querdenken-381.org
Youtube:      7 Türme Medien und  MV Stream
bitchute:      7 Türme Media
Kontakt:       info@querdenken-381.de",Channel,,Rostock,12.1286127,54.0924445,1604,0.38340904729111,0.140365277446708,0.188435514669091,0.112697683220607,0.162386819142971
querdenken_441,"Offizieller Kanal von Querdenken 441 Oldenburg - Wir für das Grundgesetz! 

Chat-Gruppe: 
https://t.me/querdenken441

Flyer-Gruppe:
https://t.me/Freiheitsboten_Oldenburg441

Webseite:
https://querdenken441.de",Channel,,Oldenburg,8.2146017,53.1389753,1318,0.434365809684097,0.181442234996084,0.125171189584053,0.0795286408705178,0.152550428984212
querdenken_571,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen. @querdenken571 - Diskussion & Austausch | https://querdenken-571.de/",Channel,,Minden,8.9168852,52.2881045,383,0.270440470299582,0.208745507619175,0.160873352596758,0.139553105385712,0.184467552337533
querdenken_6051,"QUERDENKEN 6051 Gelnhausen (Info-Kanal)

Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen!

Kanäle & Gruppen:
@querdenken_6051 - INFO
@querdenken6051 - Diskussion & Austausch
@querdenken6051_aktiv - Bilder und Videos von Demos",Channel,,Gelnhausen,9.190486,50.2028622,677,0.427052602705965,0.16573829556376,0.144517625276828,0.0757755531133339,0.158188732033737
querdenken_615,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen.
@querdenken_615 - INFO-Kanal
@querdenken615_aktiv - Bilder und Videos aus von Demos QUERDENKEN615 - DARMSTADT hochladen",Channel,,Darmstadt,8.651177,49.872775,2839,0.451460409622269,0.176716443662183,0.145493065901021,0.0761266054899669,0.122919551987158
querdenken_631,"Hier erfahrt ihr, was in unserer Initiative passiert und was wir bewegen:
@querdenken_631 - INFO-Kanal
@querdenken631 - Diskussion & Austausch
@querdenken631_aktiv - Bilder und Videos aus von Demos QUERDENKEN631 - KAISERSLAUTERN hoc",Channel,,Kaiserslautern,7.7689951,49.4432174,138,0.730899715708613,0.119112168527667,0.0844374922887096,0.014748000177522,0.0379675401487461
